slug,title,fareharborShortname,showFareharbor,tripadvisorUrl,showTripadvisor,getyourguideUrl,showGetyourguide,viatorUrl,showViator
coral-reef-manta-ray-night-snorkel,Manta Ray Night Snorkel,coralreef,TRUE,,FALSE,,FALSE,,FALSE
dolphin-discoveries-manta-ray-night-snorkel,Manta Ray Night Snorkel,dolphindiscoveries,TRUE,,FALSE,,FALSE,,FALSE
dolphin-discoveries-captain-cook-snorkel,Captain Cook Snorkel Adventure,dolphindiscoveries,TRUE,,FALSE,,FALSE,,FALSE
dolphin-discoveries-deluxe-kona-snorkel,Deluxe Kona Snorkel Adventure (2 Snorkel Spots),dolphindiscoveries,TRUE,,FALSE,,FALSE,,FALSE
hawaii-forest-trail-hidden-craters-hike,Hidden Craters Hike,hawaiiforestandtrail,TRUE,,FALSE,,FALSE,,FALSE
hawaii-geo-tours-volcano-national-park-adventure,Volcano National Park Adventure,hawaiigeotours,TRUE,,FALSE,,FALSE,,FALSE
common-ground-kauai-farm-food-experience,Farm and Food Experience,commongroundkauai,TRUE,,FALSE,,FALSE,,FALSE
dive-kauai-discover-scuba,Discover Scuba Dive - OCEAN EXPERIENCE,divekauai,TRUE,,FALSE,,FALSE,,FALSE
dive-kauai-twilight-night-dive,Twilight & Night Dive,divekauai,TRUE,,FALSE,,FALSE,,FALSE
fathom-five-koloa-landing-shore-dive,Koloa Landing Shore Dive,fathomfive,TRUE,,FALSE,,FALSE,,FALSE
fathom-five-2-tank-boat-dive,2-Tank Boat Dive,fathomfive,TRUE,,FALSE,,FALSE,,FALSE
fathom-five-discover-scuba-koloa,1-Tank Discover SCUBA - Koloa Landing,fathomfive,TRUE,,FALSE,,FALSE,,FALSE
emountain-bike-experience-tour-kihei,The Experience Tour,emountainbiketourmauillc,TRUE,,FALSE,,FALSE,,FALSE
emountain-bike-grand-tour-kihei,The Grand Tour,emountainbiketourmauillc,TRUE,,FALSE,,FALSE,,FALSE
experience-hawaii-vip-road-to-hana-haleakala-sunset,VIP Road to Hana Tour + Haleakala Sunset,experiencemauitours,TRUE,,FALSE,,FALSE,,FALSE
experience-hawaii-half-day-vip-road-to-hana,1/2 Day VIP Private Road to Hana Tour with Pick Up,experiencemauitours,TRUE,,FALSE,,FALSE,,FALSE
experience-hawaii-vip-kona-coast-tour,VIP Kona Coast Private Tour with Pickup,experiencemauitours,TRUE,,FALSE,,FALSE,,FALSE
dive-maui-lanai-cathedral-2-tank,2 Tank Lanai Cathedral Dive by Boat,goscubadivemaui,TRUE,,FALSE,,FALSE,,FALSE
dive-maui-shark-turtle-shore-dive,Shark and Turtle Dive for Certified Divers from Shore,goscubadivemaui,TRUE,,FALSE,,FALSE,,FALSE
hana-and-beyond-tour,Hana & Beyond Tour,hanaandbeyond,TRUE,,FALSE,,FALSE,,FALSE
hana-tours-of-maui-private-deluxe,Private Deluxe Hana Tour,hanatoursofmaui,TRUE,,FALSE,,FALSE,,FALSE
hawaii-by-storm-hana-back-luxury,Hana & Back Adventure Tour: Luxury Expedition,hawaiibystorm,TRUE,,FALSE,,FALSE,,FALSE
hawaii-by-storm-waimoku-falls-pipiwai,Waimoku Falls at Pipiwai Trail Hiking Adventure,hawaiibystorm,TRUE,,FALSE,,FALSE,,FALSE
hawaii-by-storm-pipiwai-haleakala-deluxe,Pipiwai Trail & Haleakala Summit Deluxe Tour,hawaiibystorm,TRUE,,FALSE,,FALSE,,FALSE
hawaii-by-storm-haleakala-summit-day-sunset,Haleakala Summit Day/Sunset Hiking Adventure,hawaiibystorm,TRUE,,FALSE,,FALSE,,FALSE
enoa-pearl-harbor-tour,Pearl Harbor Tour by E Noa,enoatours,TRUE,,FALSE,,FALSE,,FALSE
enoa-majestic-circle-island-tour,Majestic Circle Island Tour,enoatours,TRUE,,FALSE,,FALSE,,FALSE
experience-aloha-luxury-beach-picnic,Luxury Beach Picnic: Two Guests,experiencealoha,TRUE,,FALSE,,FALSE,,FALSE
experience-aloha-wedding-photography,Wedding Photography,experiencealoha,TRUE,,FALSE,,FALSE,,FALSE
experience-aloha-engagement-photography,Engagement Photography Session,experiencealoha,TRUE,,FALSE,,FALSE,,FALSE
experience-aloha-custom-floral-proposal,Custom Floral Proposal,experiencealoha,TRUE,,FALSE,,FALSE,,FALSE
go-adventure-pelagic-cageless-shark-dive,Pelagic (Cageless) Shark Dive,goadventurehawaii,TRUE,,FALSE,,FALSE,,FALSE
go-adventure-custom-day-trip,Custom Day Trip,goadventurehawaii,TRUE,,FALSE,,FALSE,,FALSE
go-adventure-fishing-charter,Fishing Charter,goadventurehawaii,TRUE,,FALSE,,FALSE,,FALSE
ocean-outfitters-marine-life-tour,Marine Life Tour,hawaiiglassbottomboats-slt,TRUE,,FALSE,,FALSE,,FALSE
ocean-outfitters-cage-free-shark-tour,Cage-free Shark Tour,hawaiiglassbottomboats-slt,TRUE,,FALSE,,FALSE,,FALSE
hawaii-nautical-oahu-west-oahu-heritage-sail,West Oahu Heritage Snorkel Sail,hawaiinautical,TRUE,,FALSE,,FALSE,,FALSE
hawaii-nautical-oahu-kaula-kai-sunset-ko-olina,Kaula Kai Sunset Sail at Ko Olina,hawaiinautical,TRUE,,FALSE,,FALSE,,FALSE
hawaii-ocean-charters-keanuenue,"Private Catamaran Cruise & Snorkeling ""Keanuenue""",hawaiioceancharters,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-oahu-circle-island-tour,Oahu Circle Island Tour,hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-private-custom-tour,Private Custom Oahu Tour,hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-fully-customized-tour-event,Fully Customized Tour or Event,hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-luau-transportation,Luau Transportation Private Group Oahu,hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-chauffeur-transportation,Chauffeur & Transportation Service (Servicing all of Oahu),hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-pearl-harbor-downtown-honolulu,Pearl Harbor & USS Arizona with Downtown Honolulu,hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
danielshawaii-circle-island-helicopter-combo,Private Oahu Circle Island Tour & Helicopter Flight,hawaiireisetipps,TRUE,,FALSE,,FALSE,,FALSE
hawaii-turtle-tours-northshore-circle-island,Northshore Circle Island Adventure,hawaiiturtletours,TRUE,,FALSE,,FALSE,,FALSE
hawaii-turtle-tours-private-spanish-tour,Full Day Isla Oahu Con Experiencia Personalizada - Tour Privado En Español,hawaiiturtletours,TRUE,,FALSE,,FALSE,,FALSE
hans-hedemann-surf-lessons,Surf Lessons,hhsurf,TRUE,,FALSE,,FALSE,,FALSE
hawaii-polo-trail-rides-oceanfront-horseback,Oceanfront Horseback Ride,hipolotrailrides,TRUE,,FALSE,,FALSE,,FALSE
hi-private-tours-east-oahu-kailua,East Oahu Lookouts & Kailua Day,hiprivatetours,TRUE,,FALSE,,FALSE,,FALSE
hi-private-tours-north-shore-adventure,North Shore Adventure Tour,hiprivatetours,TRUE,,FALSE,,FALSE,,FALSE
hi-private-tours-full-day-circle-island,Full Day Circle Island Tour - See it All,hiprivatetours,TRUE,,FALSE,,FALSE,,FALSE
hi-private-tours-tantalus-dinner-japanese,Tantalus Lookout Dinner Plan (Japanese-Guided),hiprivatetours,TRUE,,FALSE,,FALSE,,FALSE
kailua-beach-adventures-2hr-guided-kayak,2-Hour Guided Kayak + Beach Time,kailuasailboards,TRUE,,FALSE,,FALSE,,FALSE
kailua-beach-adventures-self-guided-discovery,Self-Guided Kayaking Discovery,kailuasailboards,TRUE,,FALSE,,FALSE,,FALSE
kailua-beach-adventures-twin-islands-guided,Twin Islands Guided Kayak Tour,kailuasailboards,TRUE,,FALSE,,FALSE,,FALSE
kaimana-tours-hanauma-bay,Hanauma Bay Snorkeling,kaimanatours,TRUE,,FALSE,,FALSE,,FALSE
kaimana-tours-makapuu-halona,Makapu'u Point Lighthouse Trail Hike & Halona Blowhole,kaimanatours,TRUE,,FALSE,,FALSE,,FALSE
kaimana-tours-manoa-falls,Manoa Falls Rainforest & Self-Guided Hike,kaimanatours,TRUE,,FALSE,,FALSE,,FALSE
kaimana-tours-snorkel-gear-rental,Snorkel Gear and Beach Rental,kaimanatours,TRUE,,FALSE,,FALSE,,FALSE
catamaran-kepoikai-day-sail,Day Sail,kepoikai,TRUE,,FALSE,,FALSE,,FALSE
ko-hana-rum-distillery-tour,Ko Hana Hawaiian Agricole Rum Distillery Tour,kohanarum,TRUE,,FALSE,,FALSE,,FALSE
hawaii-island-ocean-tours-whale-dolphin-kealakekua-speedboat,"Whale/Dolphin Watch, Sea Cave & Captain Cook Kealakekua Bay Reef Snorkel Speed Boat Adventure",hawaiiislandandoceantours,TRUE,,FALSE,,FALSE,,FALSE
hawaii-island-ocean-tours-manta-moonlight-keauhou,Manta Ray Moonlight Snorkel in Keauhou - Kona,hawaiiislandandoceantours,TRUE,,FALSE,,FALSE,,FALSE
hawaii-island-holidays-mauna-kea-summit-sunset-stars,"Hawaii's GOAT Experience: Mauna Kea Summit, Sunset & Stars",hawaiiislandholidays,TRUE,,FALSE,,FALSE,,FALSE
hawaii-nautical-bigisland-waikoloa-snorkel-sail-lunch,Waikoloa Snorkel Sail with Lunch,hawaiinautical-kona,TRUE,,FALSE,,FALSE,,FALSE
hawaii-nautical-bigisland-waikoloa-signature-sunset,Waikoloa Signature Sunset Sail,hawaiinautical-kona,TRUE,,FALSE,,FALSE,,FALSE
hawaii-nautical-bigisland-kona-luxury-dolphin-snorkel,Kona Luxury Dolphin Snorkel Sail,hawaiinautical-kona,TRUE,,FALSE,,FALSE,,FALSE
hawaii-nautical-bigisland-kona-luxury-private-yacht,Kona Luxury Private Yacht Charter,hawaiinautical-kona,TRUE,,FALSE,,FALSE,,FALSE
hawaii-oceanic-kealakekua-bay-snorkel,Kealakekua Bay (Captain Cook Monument) Snorkel,hawaiioceanic,TRUE,,FALSE,,FALSE,,FALSE
hawaii-oceanic-manta-magic,Manta Magic,hawaiioceanic,TRUE,,FALSE,,FALSE,,FALSE
hang-loose-manta-ray-night,Manta Ray Night Adventure,hawaiitourboat,TRUE,,FALSE,,FALSE,,FALSE
heavenly-hawaiian-coffee-brewing-workshop,"""Brew Your Best Cup"" Coffee Brewing Workshop",heavenlyhawaiian,TRUE,,FALSE,,FALSE,,FALSE
heavenly-hawaiian-paniolo-roasting,Paniolo Coffee Roasting Experience,heavenlyhawaiian,TRUE,,FALSE,,FALSE,,FALSE
heavenly-hawaiian-paint-sip,"""Paint & Sip"" Painting Class with Coffee & a View",heavenlyhawaiian,TRUE,,FALSE,,FALSE,,FALSE
hilo-ocean-adventures-discover-scuba,Discover Scuba Diving,hilooceanadventures,TRUE,,FALSE,,FALSE,,FALSE
hilo-ocean-adventures-turtle-lagoon-black-sand,Beach Snorkel - Sea Turtle Lagoon and Black Sand Beach,hilooceanadventures,TRUE,,FALSE,,FALSE,,FALSE
hilo-ocean-adventures-waiolena-2tank-shore,2 Tank Shore Dive - Wai'olena Beach,hilooceanadventures,TRUE,,FALSE,,FALSE,,FALSE
kailani-tours-big-island-highlights-volcano,Big Island Highlights Volcano Day Tour,kailanitourshawaii,TRUE,,FALSE,,FALSE,,FALSE
kohala-divers-two-site-dive-snorkel,Two-Site Dive/Snorkel,kohaladivers,TRUE,,FALSE,,FALSE,,FALSE
kona-boys-kealakekua-kayak-snorkel,Kealakekua Bay Kayak & Snorkel Tour,konaboys,TRUE,,FALSE,,FALSE,,FALSE
kona-brewing-company-brewery-tour,Brewery Tour,konabrewing,TRUE,,FALSE,,FALSE,,FALSE
kona-cloud-forest-sound-bath,Sound Bath Meditation Journey,konacloudforest,TRUE,,FALSE,,FALSE,,FALSE
kona-cloud-forest-pantropical-trail,Cloud Forest Tour - Pantropical Trail (1.5 hr),konacloudforest,TRUE,,FALSE,,FALSE,,FALSE
kona-diving-2tank-morning,2-tank Morning Charter,konadivingcompany,TRUE,,FALSE,,FALSE,,FALSE
kona-diving-manta-ray-night-charter,2-tank Manta Ray Night Charter,konadivingcompany,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-2tank-morning,2-Tank Local Morning Dive Charter,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-2tank-night-manta,2 Tank Night Manta Dive Charter,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-level1-freediver,Level 1 Freediver Course,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-open-water-course,Open Water Course,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-blackwater-dive,Blackwater Night Dive,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-premium-advanced-long-range,Premium Advanced 2 Tank Long Range Charter,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-honu-divers-private-charter-honu-lele,Private Charter - Honu Lele,konahonudivers,TRUE,,FALSE,,FALSE,,FALSE
kona-ocean-adventures-kealakekua-captain-cook,Kealakekua/Captain Cook Adventure,konaoceanadventures,TRUE,,FALSE,,FALSE,,FALSE
kona-ocean-adventures-manta-scuba-combo,Majestic Manta Rays Snorkel / 1-Tank Scuba Dive Adventure,konaoceanadventures,TRUE,,FALSE,,FALSE,,FALSE
kona-ocean-adventures-private-charter,Private Charter,konaoceanadventures,TRUE,,FALSE,,FALSE,,FALSE
kona-sea-salt-mineral-foot-soak,Deep Ocean Cold Water Mineral Foot Soak,konaseasalt,TRUE,,FALSE,,FALSE,,FALSE
kona-shore-divers-influencer-photo-package,Influencer Photo Package,konashoredivers,TRUE,,FALSE,,FALSE,,FALSE
kona-snorkel-trips-pawai-bay,Kona Snorkeling in Pawai Bay,konasnorkeltrips,TRUE,,FALSE,,FALSE,,FALSE
kona-town-surf-adventures-lesson,Surf Lesson,konatownsurfadventures,TRUE,,FALSE,,FALSE,,FALSE
iruka-kona-manta-ray-night,Manta Ray Night Snorkel,irukakona,TRUE,,FALSE,,FALSE,,FALSE
honolii-orchards-chocolate-experience,Orchard Tour & Craft Chocolate Tasting,honoliiestate,TRUE,,FALSE,,FALSE,,FALSE
holo-holo-niihau-napali-snorkel-expedition,The Ni'ihau & Napali Snorkel Expedition,holoholo,TRUE,,FALSE,,FALSE,,FALSE
holo-holo-napali-coast-snorkel-excursion,The Napali Coast Snorkel Excursion,holoholo,TRUE,,FALSE,,FALSE,,FALSE
holo-holo-kauai-sunset-tour,Kaua'i Sunset Sail,holoholo,TRUE,,FALSE,,FALSE,,FALSE
alii-air-private-kauai-helicopter-tour,Private Kauai Helicopter Tour,iflykauai,TRUE,,FALSE,,FALSE,,FALSE
alii-air-private-kauai-helicopter-charter,Private Kauai Helicopter Charter,iflykauai,TRUE,,FALSE,,FALSE,,FALSE
jack-harter-doors-off-md500,Doors-Off MD500 Tour (60-65 Min),jackharterheli,TRUE,,FALSE,,FALSE,,FALSE
jack-harter-doors-off-heart-of-island,Doors-Off Heart of the Island Kauai Tour,jackharterheli,TRUE,,FALSE,,FALSE,,FALSE
kipu-ranch-waterfall-trail-expedition,Waterfall Trail Expedition,kiputours,TRUE,,FALSE,,FALSE,,FALSE
kipu-ranch-ultimate-ranch-tour,Ultimate Ranch Tour,kiputours,TRUE,,FALSE,,FALSE,,FALSE
kauai-beach-boys-outrigger-canoe,Outrigger Canoe Ride,kauaibeachboys,TRUE,,FALSE,,FALSE,,FALSE
kauai-beach-boys-waterfall-rappel,Waterfall Rappel,kauaibeachboys,TRUE,,FALSE,,FALSE,,FALSE
kauai-beach-boys-waterfall-swim-hike,Waterfall Swim and Hike,kauaibeachboys,TRUE,,FALSE,,FALSE,,FALSE
jungle-zipline-8-line-tour,8 Line Zipline Tour,junglezip,TRUE,,FALSE,,FALSE,,FALSE
kaanapali-morning-lanai-snorkel,Morning Lana'i Snorkel Tour,kaanapalioceanadventures,TRUE,,FALSE,,FALSE,,FALSE
liljestrand-architectural-tour,90-Minute Architectural Group Tour,liljestrandhouse,TRUE,,FALSE,,FALSE,,FALSE
living-ocean-waikiki-sunset-cruise-byob,Waikiki Sunset Cruise BYOB,livingoceanscuba,TRUE,,FALSE,,FALSE,,FALSE
living-ocean-deluxe-snorkel-wildlife-cruise,Deluxe Snorkel and Wildlife Cruise,livingoceanscuba,TRUE,,FALSE,,FALSE,,FALSE
mahina-hawaii-full-day-private-adventure,Full Day Private Adventure,mahinahawaii,TRUE,,FALSE,,FALSE,,FALSE
mahina-hawaii-half-day-surf-turf,Half Day Adventure Retreat (Surf & Turf),mahinahawaii,TRUE,,FALSE,,FALSE,,FALSE
leigreeting-oahu-honolulu-airport,Airport Lei Greeting - Honolulu Airport (Oahu),leigreeting,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-waikiki-private-charter,Waikiki Private Charter,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-waikiki-exclusive-snorkel-lunch,Waikiki Exclusive Snorkel + Lunch,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-waikiki-captains-sunset-tasting,Waikiki Captain's Sunset + Tasting,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-ko-olina-four-seasons-snorkel,Ko Olina Four Seasons Snorkel,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-ko-olina-nearshore-fishing,Venture Ko Olina Nearshore Fishing,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-ko-olina-wildlife-snorkel,Venture Ko Olina Wildlife Snorkel,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-ko-olina-exclusive-snorkel-lunch,Ko Olina Exclusive Snorkel + Lunch,manacruises,TRUE,,FALSE,,FALSE,,FALSE
mana-cruises-ko-olina-private-charter,Ko Olina Private Charter,manacruises,TRUE,,FALSE,,FALSE,,FALSE
north-shore-beach-bus-waimea-pali,Tour of North Shore & Waimea Waterfall and Pali Lookout,northshorebeachbus,TRUE,,FALSE,,FALSE,,FALSE
north-shore-beach-bus-pearl-harbor-kingdom-history,Premier Pearl Harbor and Hawaiian Kingdom History Tour,northshorebeachbus,TRUE,,FALSE,,FALSE,,FALSE
north-shore-stables-beachfront-atv-farm,"Beachfront ATV, Farm Animals & Native Hawaiian Plant Experience",northshorestables,TRUE,,FALSE,,FALSE,,FALSE
north-shore-ohana-surf-lesson,Surf Lesson,nsohanasurfschool,TRUE,,FALSE,,FALSE,,FALSE
oahu-boat-cruises-private-parties,Private Parties,oahuboatcruises,TRUE,,FALSE,,FALSE,,FALSE
oahu-photography-beautiful-colors-tour,Beautiful Colors of Hawaii Photo Tour,oahuphotographytours,TRUE,,FALSE,,FALSE,,FALSE
oahu-photography-complete-island-sunrise,Complete Island Adventure with Sunrise,oahuphotographytours,TRUE,,FALSE,,FALSE,,FALSE
oahu-photography-complete-island-waterfall,Complete Island Adventure with Waterfall,oahuphotographytours,TRUE,,FALSE,,FALSE,,FALSE
oahu-photography-seacliff-sunset,PRIVATE Honolulu Sea-cliff Tour with Sunset,oahuphotographytours,TRUE,,FALSE,,FALSE,,FALSE
oahu-photography-sunset-light-painting,Private Sunset & Light-Painting Experience,oahuphotographytours,TRUE,,FALSE,,FALSE,,FALSE
ohana-surf-project-surf-lessons,Surf Lessons,ohanasurfproject,TRUE,,FALSE,,FALSE,,FALSE
ohana-surf-project-sup-lessons,SUP Lessons,ohanasurfproject,TRUE,,FALSE,,FALSE,,FALSE
ohana-surf-project-bodyboarding-lessons,Bodyboarding Lessons,ohanasurfproject,TRUE,,FALSE,,FALSE,,FALSE
pacific-historic-parks-self-guided-multimedia-tour,Pearl Harbor Self-Guided Multimedia Tour,phptours,TRUE,,FALSE,,FALSE,,FALSE
pacific-historic-parks-uss-arizona-narrated,USS Arizona Narrated Tour,phptours,TRUE,,FALSE,,FALSE,,FALSE
pacific-historic-parks-deluxe-combo-vr,Official Pearl Harbor Deluxe Combo: Self-Guided Multimedia Tour & VR Experience,phptours,TRUE,,FALSE,,FALSE,,FALSE
pacific-historic-parks-skies-over-pearl-vr,Skies Over Pearl Virtual Reality Experience,phptours,TRUE,,FALSE,,FALSE,,FALSE
pink-sails-turtle-snorkeling-guaranteed,Turtle Snorkeling Adventure + Guaranteed Sightings,pinksailswaikiki,TRUE,,FALSE,,FALSE,,FALSE
pink-sails-sunset-splash,Sunset Splash Adventure,pinksailswaikiki,TRUE,,FALSE,,FALSE,,FALSE
polynesian-adventure-wwii-pearl-harbor-tour,World War II Heroes Deluxe Pearl Harbor Tour with Lunch,polyad-activities,TRUE,,FALSE,,FALSE,,FALSE
polynesian-adventure-oahu-grand-circle-waimea-dole,Oahu Grand Circle Island Tour - Waimea Valley & Dole Plantation,polyad-activities,TRUE,,FALSE,,FALSE,,FALSE
queens-waikiki-luau,Queen's Waikiki Luau,queenswaikikiluau,TRUE,,FALSE,,FALSE,,FALSE
rainbow-watersports-sup-group-lesson,SUP Open Group Lesson,rainbowwatersportsadventure,TRUE,,FALSE,,FALSE,,FALSE
rainbow-watersports-rentals,Rentals,rainbowwatersportsadventure,TRUE,,FALSE,,FALSE,,FALSE
north-shore-catamaran-morning-sail-snorkel,Morning Sail & Snorkel,sailingcat,TRUE,,FALSE,,FALSE,,FALSE
sea-board-sports-nature-turtle-tour,Nature & Turtle Tour,sbshawaii,TRUE,,FALSE,,FALSE,,FALSE
scuba-lounge-hawaii-beginner-scuba,Beginner Scuba Diving Tour With Free Video Package,scubaloungehawaii,TRUE,,FALSE,,FALSE,,FALSE
north-shore-shark-adventures-shark-dive,Shark Dive,sharktourshawaii,TRUE,,FALSE,,FALSE,,FALSE
snorkel-with-turtles-honolulu,Snorkel with Turtles,snorkelwithturtles,TRUE,,FALSE,,FALSE,,FALSE
stars-above-hawaii-ko-olina-star-show,Star Tour Show at Ko Olina,starsabovehawaii,TRUE,,FALSE,,FALSE,,FALSE
adventure-boat-snorkel-adventure-tour,Adventure / Snorkel Tour,theadventureboat,TRUE,,FALSE,,FALSE,,FALSE
